,Date,Net,Gross,Debt,Savings,Investments,Assets
0,2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-04-01,16033.650555555554,26409.930555555555,10376.28,15230.03472222222,11179.895833333334,0.0
4,2024-05-01,19357.72331018518,29655.013310185182,10297.29,17877.78501157407,11777.228298611111,0.0
5,2024-06-01,22709.03842110339,32927.13842110339,10218.1,20547.59988667052,12379.53853443287,0.0
6,2024-07-01,26087.811241279247,36226.53124127925,10138.720000000001,23239.66321905944,12986.86802221981,0.0
7,2024-08-01,29494.279001623247,39553.419001623246,10059.14,25954.160412551602,13599.258589071642,0.0
8,2024-09-01,32928.66082663677,42908.03082663677,9979.369999999999,28691.27841598953,14216.75241064724,0.0
9,2024-10-01,36391.19775019208,46290.59775019208,9899.4,31451.205736122778,14839.392014069299,0.0
10,2024-11-01,39882.112731443674,49701.35273144368,9819.240000000002,34234.13245059047,15467.22028085321,0.0
11,2024-12-01,43401.64067087238,53140.53067087238,9738.89,37040.25022101206,16100.28044986032,0.0
12,2025-01-01,46950.03842646298,56608.368426462985,9658.33,39869.75230618716,16738.616120275823,0.0
13,2025-02-01,50527.524830016846,60105.10483001685,9577.58,42722.83357540539,17382.271254611456,0.0
14,2025-03-01,51257.49375713861,357754.1237571386,306496.63,9722.833575405391,18031.290181733217,330000.0
15,2025-04-01,62654.383876130334,368048.6138761303,305394.23,14948.22960954933,18685.717599914326,334414.6666666667
16,2025-05-01,69296.80788065365,373583.32788065367,304286.52,17593.63152296224,19345.59857991361,336644.0977777778
17,2025-06-01,75986.95878336282,379160.44878336287,303173.49000000005,20261.07845232026,20010.978568079558,338888.39176296303
18,2025-07-01,82725.21520361927,384780.3052036193,302055.09,22950.754106089596,20681.90338948022,341147.64770804945
19,2025-08-01,89511.91833413602,390443.228334136,300931.31,25662.843723640344,21358.419251059222,343421.96535943646
20,2025-09-01,96347.43196132139,396149.5519613214,299802.12,28397.534088004013,22040.572744818048,345711.44512849936
21,2025-10-01,103232.12248578493,401899.6124857849,298667.49,31155.01353873738,22728.410851024866,348016.1880960227
22,2025-11-01,110166.34894300642,407693.74894300645,297527.4,33935.47198489353,23421.980941450074,350336.29601666285
23,2025-12-01,117150.48302417033,413532.30302417034,296381.82,36739.10091810097,24121.330782628826,352671.8713234406
24,2026-01-01,124184.88909716601,419415.61909716605,295230.73000000004,39566.09342575182,24826.50853915073,355023.0171322635
25,2026-02-01,131269.95422775537,425344.04422775534,294074.08999999997,42416.64420429975,25537.562776976985,357389.8372464786
26,2026-03-01,138406.05820090917,431317.92820090917,292911.87,45290.94957266891,26254.542466785126,359772.4361614551
27,2026-04-01,145593.56354231428,437337.6235423143,291744.06,48189.20748577449,26977.496987341667,362170.91906919813
28,2026-05-01,152832.8655400516,443403.4855400516,290570.62,51111.61754815594,27706.476128902847,364585.3918629928
29,2026-06-01,160124.33226644702,449515.872266447,289391.54,54058.38102772391,28441.530096643703,367015.9611420794
30,2026-07-01,167468.3746000973,455675.14460009726,288206.76999999996,57029.70086962161,29182.709514115733,369462.7342163599
31,2026-08-01,174865.3762480708,461881.6662480708,287016.29,60025.78171020179,29930.065426733363,371925.8191111356
32,2026-09-01,182315.72376828612,468135.80376828613,285820.08,63046.829891120135,30683.649305289473,374405.3245718765
33,2026-10-01,189819.82659206865,474437.9265920687,284618.10000000003,66093.05347354614,31443.51304950022,376901.36006902234
34,2026-11-01,197378.09704688756,480788.40704688756,283410.31,69164.66225249236,32209.708991579388,379414.0358028158
35,2026-12-01,204990.91037927358,487187.6203792736,282196.71,72261.86777126313,32982.28989984255,381943.4627081679
36,2027-01-01,212658.68477792066,493635.9447779206,280977.25999999995,75384.88333602366,33761.30898234124,384489.7524595557
37,2027-02-01,220381.83139697072,500133.7613969707,279751.93,78533.92403049053,34546.81989052741,387053.01747595274
38,2027-03-01,228160.7643794855,506681.4543794855,278520.69,81709.20673074461,35338.87672294847,389633.37092579243
39,2027-04-01,235995.90088110493,513279.41088110494,277283.51,84910.95012016749,36137.534028973045,392230.9267319644
40,2027-05-01,243887.6510938941,519928.02109389415,276040.37000000005,88139.37470450222,36942.84681254782,394845.79957684415
41,2027-06-01,251836.4482703819,526627.6782703819,274791.23,91394.70282703974,37754.87053598572,397478.10490735644
42,2027-07-01,259842.70874778955,533378.7787477896,273536.07,94677.15868393175,38573.6611237856,400127.95894007216
43,2027-08-01,267906.8719724543,540181.7219724543,272274.85000000003,97986.96833963117,39399.27496648381,402795.4786663393
44,2027-09-01,276029.36052444746,547036.9105244474,271007.55,101324.35974246143,40231.76892453784,405480.7818574482
45,2027-10-01,284210.63014238887,553944.7501423889,269734.12,104689.56274031528,41071.200332242326,408183.98706983123
46,2027-11-01,292451.099748459,560905.649748459,268454.55,108082.80909648458,41917.627001677676,410905.2136502968
47,2027-12-01,300751.2214736124,567920.0214736124,267168.8,111504.33250562195,42771.10722669166,413644.5817412988
48,2028-01-01,309111.43068299035,574988.2806829903,265876.85,114954.36860983547,43631.69978691409,416402.21228624077
49,2028-02-01,317532.18600153824,582110.8460015382,264578.66,118433.15501491743,44499.46395180504,419178.2270348157
50,2028-03-01,326013.9293398263,589288.1393398263,263274.21,121940.9313067084,45374.45948473675,421972.74854838115
51,2028-04-01,334557.1259200775,596520.5859200775,261963.46000000002,125477.93906759763,46256.746647109554,424785.90020537033
52,2028-05-01,343162.2343024026,603808.6143024026,260646.38,129044.42189316095,47146.38620250214,427617.80620673945
